Company,Product,TypeName,Inches,Ram,OS,Weight,Price_euros,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,CPU_model,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company,GPU_model,Screen_pixels,PPI,TotalStorageGB,CPU_series
HP,255 G6,Notebook,15.6,4,Windows 10,1.86,398.49,Full HD,1920,1080,0,0,0,AMD,2.5,A6-Series 9220,256,0,SSD,No,AMD,Radeon R4 Graphics,2202.9071700822983,141.21199808219862,256,A6
HP,ProBook 430,Notebook,13.3,8,Windows 10,1.49,1103.0,Full HD,1920,1080,0,0,0,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620,2202.9071700822983,165.6321180513006,512,Core i7
Acer,Aspire 3,Notebook,15.6,4,Windows 10,2.4,384.0,Standard,1366,768,0,0,0,Intel,2.4,Core i3 7100U,1024,0,HDD,No,Intel,HD Graphics 620,1567.0928498337296,100.45466986113651,1024,Core i3
Dell,Inspiron 3576,Notebook,15.6,8,Windows 10,2.13,767.8,Full HD,1920,1080,0,0,0,Intel,1.8,Core i7 8550U,256,0,SSD,No,AMD,Radeon 520,2202.9071700822983,141.21199808219862,256,Core i7
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,4,Windows 10,1.91,439.0,Full HD,1920,1080,0,0,0,Intel,2.0,Core i3 6006U,128,0,SSD,No,Intel,HD Graphics 520,2202.9071700822983,141.21199808219862,128,Core i3
Asus,VivoBook Max,Notebook,15.6,4,Windows 10,2.0,586.19,Standard,1366,768,0,0,0,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,1567.0928498337296,100.45466986113651,256,Core i5
MSI,GS73VR 7RG,Gaming,17.3,16,Windows 10,2.43,2449.0,Full HD,1920,1080,0,0,0,Intel,2.8,Core i7 7700HQ,256,2048,SSD,HDD,Nvidia,GeForce GTX 1070,2202.9071700822983,127.33567457123111,2304,Core i7
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,4,Linux,2.0,415.0,Full HD,1920,1080,0,0,0,Intel,2.0,Core i3 6006U,256,0,SSD,No,Intel,HD Graphics 520,2202.9071700822983,141.21199808219862,256,Core i3
Dell,Inspiron 5770,Notebook,17.3,16,Windows 10,2.8,1299.0,Full HD,1920,1080,0,0,0,Intel,1.8,Core i7 8550U,256,2048,SSD,HDD,AMD,Radeon 530,2202.9071700822983,127.33567457123111,2304,Core i7
Dell,Vostro 5471,Ultrabook,14.0,8,Windows 10,1.7,879.0,Full HD,1920,1080,0,0,0,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,2202.9071700822983,157.3505121487356,256,Core i5
Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,8,No OS,1.7,599.0,Full HD,1920,1080,0,1,0,Intel,2.7,Core i3 7130U,256,0,SSD,No,Intel,HD Graphics 620,2202.9071700822983,157.3505121487356,256,Core i3
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,8,Windows 10,1.4,941.0,Full HD,1920,1080,0,0,0,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,2202.9071700822983,157.3505121487356,256,Core i5
HP,250 G6,Notebook,15.6,8,Windows 10,1.86,690.0,Full HD,1920,1080,0,0,0,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,2202.9071700822983,141.21199808219862,256,Core i5
Asus,ZenBook Pro,Ultrabook,15.6,16,Windows 10,1.8,1983.0,Full HD,1920,1080,0,0,0,Intel,2.8,Core i7 7700HQ,512,0,SSD,No,Nvidia,GeForce GTX 1050 Ti,2202.9071700822983,141.21199808219862,512,Core i7
HP,250 G6,Notebook,15.6,4,Windows 10,1.86,438.69,Standard,1366,768,0,0,0,Intel,2.0,Core i3 6006U,500,0,HDD,No,AMD,Radeon 520,1567.0928498337296,100.45466986113651,500,Core i3
HP,Stream 14-AX040wm,Notebook,14.0,4,Windows 10,1.44,229.0,Standard,1366,768,0,0,0,Intel,1.6,Celeron Dual Core N3060,32,0,SSD,No,Intel,HD Graphics 400,1567.0928498337296,111.93520355955211,32,N3060
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,4,Windows 10,1.9,549.0,Full HD,1920,1080,0,0,0,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620,2202.9071700822983,141.21199808219862,1024,Core i5
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,12,Linux,3.0,949.0,Full HD,1920,1080,0,0,0,Intel,2.8,Core i7 7700HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050 Ti,2202.9071700822983,127.33567457123111,1024,Core i7
Microsoft,Surface Laptop,Ultrabook,13.5,4,Windows 10 S,1.252,1089.0,Standard,2256,1504,1,0,0,Intel,2.5,Core i5 7200U,128,0,SSD,No,Intel,HD Graphics 620,2711.37455914892,200.84255993695703,128,Core i5
Dell,Inspiron 5370,Ultrabook,13.3,8,Windows 10,1.4,955.0,Full HD,1920,1080,0,1,0,Intel,1.8,Core i7 8550U,256,0,SSD,No,AMD,Radeon 530,2202.9071700822983,165.6321180513006,256,Core i7
Dell,Inspiron 5570,Notebook,15.6,8,Windows 10,2.2,870.0,Full HD,1920,1080,0,0,0,Intel,1.8,Core i7 8550U,256,0,SSD,No,AMD,Radeon 530,2202.9071700822983,141.21199808219862,256,Core i7
MSI,GL72M 7RDX,Gaming,17.3,8,Windows 10,2.7,1095.0,Full HD,1920,1080,0,0,0,Intel,2.5,Core i5 7300HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050,2202.9071700822983,127.33567457123111,1152,Core i5
Acer,Aspire E5-475,Notebook,14.0,8,Windows 10,2.1,389.0,Standard,1366,768,0,0,0,Intel,2.0,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 520,1567.0928498337296,111.93520355955211,1024,Core i3
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,8,Windows 10,2.2,949.0,Full HD,1920,1080,0,0,0,Intel,2.8,Core i7 7700HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050,2202.9071700822983,141.21199808219862,1024,Core i7
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8,No OS,2.2,519.0,Full HD,1920,1080,0,0,0,Intel,2.5,Core i5 7200U,2048,0,HDD,No,Intel,HD Graphics 620,2202.9071700822983,141.21199808219862,2048,Core i5
Dell,Inspiron 5570,Notebook,15.6,8,Windows 10,2.02,855.0,Full HD,1920,1080,0,0,0,Intel,1.8,Core i7 8550U,128,1024,SSD,HDD,Intel,UHD Graphics 620,2202.9071700822983,141.21199808219862,1152,Core i7
Acer,Aspire A515-51G-32MX,Notebook,15.6,4,Windows 10,2.2,530.0,Full HD,1920,1080,0,0,0,Intel,2.7,Core i3 7130U,1024,0,HDD,No,Nvidia,GeForce MX130,2202.9071700822983,141.21199808219862,1024,Core i3
HP,ProBook 470,Notebook,17.3,8,Windows 10,2.5,977.0,Full HD,1920,1080,0,0,0,Intel,1.6,Core i5 8250U,128,1024,SSD,HDD,Nvidia,GeForce 930MX,2202.9071700822983,127.33567457123111,1152,Core i5
Dell,Latitude 5590,Ultrabook,15.6,8,Windows 10,1.88,1096.16,Full HD,1920,1080,0,1,0,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,2202.9071700822983,141.21199808219862,256,Core i5
Apple,"MacBook 12""",Ultrabook,12.0,8,macOS,0.92,1510.0,Standard,2304,1440,0,1,1,Intel,1.3,Core i5,512,0,SSD,No,Intel,HD Graphics 615,2716.986566032302,226.41554716935852,512,Core i5
HP,ProBook 440,Notebook,14.0,8,Windows 10,1.63,860.0,Full HD,1920,1080,0,0,0,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,HD Graphics 620,2202.9071700822983,157.3505121487356,256,Core i5
Lenovo,IdeaPad 320-15AST,Notebook,15.6,4,Windows 10,2.2,399.0,Full HD,1920,1080,0,0,0,AMD,2.5,A6-Series 9220,128,0,SSD,No,AMD,R4 Graphics,2202.9071700822983,141.21199808219862,128,A6
Acer,Aspire 3,Notebook,15.6,4,Windows 10,2.1,395.0,Standard,1366,768,0,0,0,AMD,3.0,A9-Series 9420,1024,0,HDD,No,AMD,Radeon R5,1567.0928498337296,100.45466986113651,1024,A9
Dell,Inspiron 7577,Gaming,15.6,16,Windows 10,2.65,1349.0,Full HD,1920,1080,0,1,0,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti,2202.9071700822983,141.21199808219862,1152,Core i7
HP,Pavilion 15-CK000nv,Ultrabook,15.6,8,Windows 10,1.83,699.0,Full HD,1920,1080,0,1,0,Intel,1.8,Core i7 8550U,256,0,SSD,No,Nvidia,GeForce GTX 940MX,2202.9071700822983,141.21199808219862,256,Core i7
HP,250 G6,Notebook,15.6,8,Windows 10,1.96,598.99,Full HD,1920,1080,0,0,0,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,2202.9071700822983,141.21199808219862,256,Core i5
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,16,Windows 10,2.2,1449.0,Full HD,1920,1080,0,1,0,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1060,2202.9071700822983,141.21199808219862,1152,Core i7
Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.21,1649.0,Full HD,1920,1080,0,1,0,Intel,1.8,Core i7 8550U,256,0,SSD,No,Intel,UHD Graphics 620,2202.9071700822983,165.6321180513006,256,Core i7
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,8,Windows 10,2.45,699.0,Full HD,1920,1080,0,0,0,AMD,3.0,FX 9830P,1024,0,HDD,No,AMD,Radeon RX 560,2202.9071700822983,141.21199808219862,1024,FX 9830
Acer,Aspire 5,Notebook,15.6,8,Windows 10,2.2,689.0,Full HD,1920,1080,0,0,0,Intel,1.8,Core i7 8550U,1024,0,HDD,No,Nvidia,GeForce MX150,2202.9071700822983,141.21199808219862,1024,Core i7
HP,Probook 430,Notebook,13.3,16,Windows 10,1.49,1197.0,Full HD,1920,1080,0,0,0,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620,2202.9071700822983,165.6321180513006,512,Core i7
Dell,Inspiron 7577,Gaming,15.6,8,Windows 10,2.65,1195.0,Full HD,1920,1080,0,0,0,Intel,2.5,Core i5 7300HQ,256,0,SSD,No,Nvidia,GeForce GTX 1060,2202.9071700822983,141.21199808219862,256,Core i5
Asus,Zenbook UX430UA,Ultrabook,14.0,8,Windows 10,1.25,1049.0,Full HD,1920,1080,0,0,0,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620,2202.9071700822983,157.3505121487356,256,Core i7
Acer,Spin 5,2 in 1 Convertible,13.3,8,Windows 10,1.5,847.0,Full HD,1920,1080,1,1,0,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,2202.9071700822983,165.6321180513006,256,Core i5
Dell,Inspiron 3567,Notebook,15.6,8,Linux,2.2,599.9,Full HD,1920,1080,0,0,0,Intel,2.7,Core i7 7500U,1024,0,HDD,No,AMD,Radeon R5 M430,2202.9071700822983,141.21199808219862,1024,Core i7
Dell,Inspiron 3567,Notebook,15.6,4,Linux,2.2,485.0,Full HD,1920,1080,0,0,0,Intel,2.0,Core i3 6006U,256,0,SSD,No,AMD,Radeon R5 M430,2202.9071700822983,141.21199808219862,256,Core i3
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,6,Windows 10,2.0,577.0,Full HD,1920,1080,0,0,0,Intel,2.4,Core i3 7100U,256,0,SSD,No,Nvidia,GeForce 920M,2202.9071700822983,141.21199808219862,256,Core i3
HP,Omen 15-ce007nv,Gaming,15.6,12,Windows 10,2.62,1249.0,Full HD,1920,1080,0,1,0,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050,2202.9071700822983,141.21199808219862,1152,Core i7
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,8,Windows 10,1.91,719.0,Full HD,1920,1080,0,0,0,Intel,2.7,Core i7 7500U,256,0,SSD,No,AMD,Radeon 530,2202.9071700822983,141.21199808219862,256,Core i7
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,4,Windows 10,2.1,349.0,Full HD,1920,1080,0,0,0,AMD,1.5,E-Series E2-9000e,500,0,HDD,No,AMD,Radeon R2,2202.9071700822983,141.21199808219862,500,E2
Dell,Inspiron 3576,Notebook,15.6,8,Linux,2.2,647.0,Full HD,1920,1080,0,0,0,Intel,1.6,Core i5 8250U,1024,0,HDD,No,AMD,Radeon 520,2202.9071700822983,141.21199808219862,1024,Core i5
HP,Envy 13-ad009n,Ultrabook,13.3,8,Windows 10,1.38,1119.0,Full HD,1920,1080,0,1,0,Intel,2.7,Core i7 7500U,256,0,SSD,No,Nvidia,GeForce MX150,2202.9071700822983,165.6321180513006,256,Core i7
Microsoft,Surface Laptop,Ultrabook,13.5,8,Windows 10 S,1.252,1340.0,Standard,2256,1504,1,0,0,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,2711.37455914892,200.84255993695703,256,Core i5
HP,Pavilion 14-BK001nv,Notebook,14.0,6,Windows 10,1.58,659.0,Full HD,1920,1080,0,1,0,Intel,2.5,Core i5 7200U,256,0,SSD,No,Nvidia,GeForce 940MX,2202.9071700822983,157.3505121487356,256,Core i5
Lenovo,Ideapad 310-15ISK,Notebook,15.6,4,Windows 10,1.85,414.9,Full HD,1920,1080,0,0,0,Intel,2.0,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 520,2202.9071700822983,141.21199808219862,1024,Core i3
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,8,Windows 10,1.3,1193.0,Full HD,1920,1080,0,1,0,Intel,2.7,Core i7 7500U,256,0,SSD,No,Nvidia,GeForce 940MX,2202.9071700822983,157.3505121487356,256,Core i7
MSI,GP62M 7REX,Gaming,15.6,16,Windows 10,2.2,1299.0,Full HD,1920,1080,0,0,0,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti,2202.9071700822983,141.21199808219862,1280,Core i7
Lenovo,Thinkpad T470,Notebook,14.0,8,Windows 10,1.58,1480.0,Full HD,1920,1080,0,1,0,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620,2202.9071700822983,157.3505121487356,256,Core i7
